Titre;Prix_DT;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut
Toyota Agya;36500;https://www.automax.tn/annonces/toyota-agya-2/;AutoMax;2026-07-13;2026-07-12;Toyota;Agya;2022;80000;Automatique;Essence;Bizerte;5;;
Citroen C-Elysee;20000;https://www.automax.tn/annonces/citroen-c-elysee-3/;AutoMax;2026-07-13;2026-07-09;Citroen;C-Elysee;2015;207000;Manuelle;Diesel;Kairouan;5;;
Volkswagen Golf 7;98000;https://www.automax.tn/annonces/volkswagen-golf-7-9/;AutoMax;2026-07-13;2026-07-07;Volkswagen;Golf 7;2018;152000;Manuelle;Essence;Nabeul;6;;
Peugeot 301;34700;https://www.automax.tn/annonces/peugeot-301-4/;AutoMax;2026-07-13;2026-07-07;Peugeot;301;2023;90000;Manuelle;Essence;Bizerte;5;;
Fiat Panda City Cross;44500;https://www.automax.tn/annonces/fiat-panda-city-cross/;AutoMax;2026-07-13;2026-07-06;Fiat;Panda City Cross;2022;70000;Manuelle;Essence;Bizerte;4;;
Mercedes Classe C;79000;https://www.automax.tn/annonces/mercedes-classe-c-6/;AutoMax;2026-07-13;2026-07-04;Mercedes;Classe C;2018;123000;Automatique;Essence;Tunis;8;;
Peugeot 208;38000;https://www.automax.tn/annonces/peugeot-208-11/;AutoMax;2026-07-13;2026-07-01;Peugeot;208;2023;69000;Manuelle;Essence;Bizerte;5;;
Kia Rio;49800;https://www.automax.tn/annonces/kia-rio-12/;AutoMax;2026-07-13;2026-07-01;Kia;Rio;2022;90000;Manuelle;Essence;Bizerte;5;;
Suzuki Ciaz;45000;https://www.automax.tn/annonces/suzuki-ciaz/;AutoMax;2026-07-13;2026-06-29;Suzuki;Ciaz;2019;124;Manuelle;Essence;Sousse;5;;
Mercedes Classe C;38000;https://www.automax.tn/annonces/mercedes-classe-c-5/;AutoMax;2026-07-13;2026-06-29;Mercedes;Classe C;2010;267000;Manuelle;Essence;Tunis;9;;
Peugeot 208;37500;https://www.automax.tn/annonces/peugeot-208-7/;AutoMax;2026-07-13;2026-06-28;Peugeot;208;2023;70000;Manuelle;Essence;Bizerte;5;;
Volkswagen Polo 7;32000;https://www.automax.tn/annonces/volkswagen-polo-7-2/;AutoMax;2026-07-13;2026-06-28;Volkswagen;Polo 7;2013;265000;Manuelle;Essence;Sfax;5;;
Hyundai Tucson;79000;https://www.automax.tn/annonces/hyundai-tucson-2/;AutoMax;2026-07-13;2026-06-27;Hyundai;Tucson;2021;110000;Automatique;Essence;Tunis;10;;
Bmw Serie 3;38000;https://www.automax.tn/annonces/bmw-serie-3-5/;AutoMax;2026-07-13;2026-06-26;Bmw;Serie 3;2009;230000;Automatique;Diesel;Monastir;8;;
Volkswagen Polo Sedan;35200;https://www.automax.tn/annonces/volkswagen-polo-sedan/;AutoMax;2026-07-13;2026-06-23;Volkswagen;Polo Sedan;2015;230000;Manuelle;Essence;Ariana;5;;
Chery Tiggo 3;56950;https://www.automax.tn/annonces/chery-tiggo-3-3/;AutoMax;2026-07-13;2026-06-23;Chery;Tiggo 3;2023;46000;Automatique;Essence;Tunis;6;;
Peugeot 3008;0;https://www.automax.tn/annonces/peugeot-3008-5/;AutoMax;2026-07-13;2026-06-23;Peugeot;3008;2010;231;Manuelle;Diesel;Ben Arous;6;;
Kia Sportage;54000;https://www.automax.tn/annonces/kia-sportage-7/;AutoMax;2026-07-13;2026-06-21;Kia;Sportage;2015;190000;Manuelle;Essence;Nabeul;8;;
Seat Leon;78000;https://www.automax.tn/annonces/seat-leon-4/;AutoMax;2026-07-13;2026-06-19;Seat;Leon;2021;63000;Automatique;Essence;Ariana;8;;
Volkswagen Passat;34000;https://www.automax.tn/annonces/volkswagen-passat-5/;AutoMax;2026-07-13;2026-06-17;Volkswagen;Passat;2008;20000;Manuelle;Diesel;Monastir;7;;
Haval H6;78000;https://www.automax.tn/annonces/haval-h6-3/;AutoMax;2026-07-13;2026-06-16;Haval;H6;2020;20990;Automatique;Essence;Tunis;9;;
Mercedes Classe C;177000;https://www.automax.tn/annonces/mercedes-classe-c-4/;AutoMax;2026-07-13;2026-06-16;Mercedes;Classe C;2022;77000;Automatique;Hybride;Ariana;9;;
Mercedes Classe C;48000;https://www.automax.tn/annonces/mercedes-classe-c-3/;AutoMax;2026-07-13;2026-06-14;Mercedes;Classe C;2010;248000;Automatique;Diesel;Monastir;8;;
Citroen Berlingo Van;24000;https://www.automax.tn/annonces/citroen-berlingo-van/;AutoMax;2026-07-13;2026-06-11;Citroen;Berlingo Van;2004;160000;Manuelle;Essence;Nabeul;6;;
Chery Tiggo 2;38000;https://www.automax.tn/annonces/chery-tiggo-2-4/;AutoMax;2026-07-13;2026-06-10;Chery;Tiggo 2;2020;120000;Manuelle;Essence;Nabeul;6;;
Ford Fiesta;36000;https://www.automax.tn/annonces/ford-fiesta-3/;AutoMax;2026-07-13;2026-06-10;Ford;Fiesta;2017;166000;Manuelle;Essence;Ariana;5;;
Fiat Grande Punto;24300;https://www.automax.tn/annonces/fiat-grande-punto-2/;AutoMax;2026-07-13;2026-06-08;Fiat;Grande Punto;2016;188000;Manuelle;Essence;Sousse;10;;
Fiat 500;33000;https://www.automax.tn/annonces/fiat-500-2/;AutoMax;2026-07-13;2026-06-08;Fiat;500;2014;129000;Manuelle;Essence;Ariana;10;;
Mercedes Glc;260000;https://www.automax.tn/annonces/mercedes-glc/;AutoMax;2026-07-13;2026-06-08;Mercedes;Glc;2023;50000;Automatique;Hybride;Bizerte;11;;
Peugeot 208;35000000;https://www.automax.tn/annonces/peugeot-208-10/;AutoMax;2026-07-13;2026-06-05;Peugeot;208;2014;270000;Manuelle;Diesel;Nabeul;5;;
Kia Rio;68000;https://www.automax.tn/annonces/kia-rio-5/;AutoMax;2026-07-13;2026-06-03;Kia;Rio;2022;23700;Manuelle;Essence;Tunis;5;;
Seat Leon;59500;https://www.automax.tn/annonces/seat-leon-3/;AutoMax;2026-07-13;2026-06-03;Seat;Leon;2017;120800;Manuelle;Essence;Sousse;6;;
Bmw Serie 1;45000;https://www.automax.tn/annonces/bmw-serie-1-2/;AutoMax;2026-07-13;2026-06-01;Bmw;Serie 1;2012;190000;Automatique;Essence;Ariana;7;;
Kia Sportage;55000;https://www.automax.tn/annonces/kia-sportage-6/;AutoMax;2026-07-13;2026-06-01;Kia;Sportage;2013;231846;Manuelle;Diesel;Kef;7;;
Mahindra Kuv 100;27500;https://www.automax.tn/annonces/mahindra-kuv-100-9/;AutoMax;2026-07-13;2026-06-01;Mahindra;Kuv 100;2020;78000;Manuelle;Essence;Ben Arous;5;;
Kia Picanto;23000;https://www.automax.tn/annonces/kia-picanto-3/;AutoMax;2026-07-13;2026-05-19;Kia;Picanto;2011;182000;Manuelle;Essence;Tunis;4;;
Peugeot 208;26000;https://www.automax.tn/annonces/peugeot-208-9/;AutoMax;2026-07-13;2026-05-17;Peugeot;208;2016;154500;Manuelle;Essence;Bizerte;5;;
Ford Ka;25500;https://www.automax.tn/annonces/ford-ka/;AutoMax;2026-07-13;2026-05-16;Ford;Ka;2015;130000;Manuelle;Essence;Tunis;4;;
Peugeot Partner;28500;https://www.automax.tn/annonces/peugeot-partner-2/;AutoMax;2026-07-13;2026-05-16;Peugeot;Partner;1996;350000;Manuelle;Diesel;Sousse;5;;
Audi Q2;71000;https://www.automax.tn/annonces/audi-q2-3/;AutoMax;2026-07-13;2026-05-16;Audi;Q2;2018;60000;Automatique;Essence;Tunis;6;;
Volkswagen Polo;18500;https://www.automax.tn/annonces/volkswagen-polo-4/;AutoMax;2026-07-13;2026-05-15;Volkswagen;Polo;2009;380000;Manuelle;Diesel;Tunis;4;;
Audi A4;25000;https://www.automax.tn/annonces/audi-a4-6/;AutoMax;2026-07-13;2026-05-13;Audi;A4;2009;220000;Manuelle;Essence;Tunis;7;;
Hyundai Grand I10 Sedan;37500;https://www.automax.tn/annonces/hyundai-grand-i10-sedan/;AutoMax;2026-07-13;2026-05-12;Hyundai;Grand I10 Sedan;2022;125000;Manuelle;Essence;Mahdia;5;;
Bmw X4;169000;https://www.automax.tn/annonces/bmw-x4/;AutoMax;2026-07-13;2026-05-11;Bmw;X4;2019;135000;Automatique;Essence;Monastir;16;;
Kia Rio Berline;80000;https://www.automax.tn/annonces/kia-rio-berline/;AutoMax;2026-07-13;2026-05-06;Kia;Rio Berline;2023;10000;Automatique;Essence;Monastir;5;;
Kia Picanto;37000;https://www.automax.tn/annonces/kia-picanto/;AutoMax;2026-07-13;2026-05-03;Kia;Picanto;2019;57600;Manuelle;Essence;Ben Arous;4;;
Ford Mondeo;27500;https://www.automax.tn/annonces/ford-mondeo-2/;AutoMax;2026-07-13;2026-05-03;Ford;Mondeo;2010;235000;Manuelle;Essence;Ariana;8;;
Fiat Tipo;47000;https://www.automax.tn/annonces/fiat-tipo-2/;AutoMax;2026-07-13;2026-05-01;Fiat;Tipo;2020;33000;Manuelle;Essence;Tunis;6;;
Peugeot 2008;68000;https://www.automax.tn/annonces/peugeot-2008-6/;AutoMax;2026-07-13;2026-04-30;Peugeot;2008;2023;57000;Automatique;Essence;Tunis;7;;
Skoda Kodiaq;125000;https://www.automax.tn/annonces/skoda-kodiaq/;AutoMax;2026-07-13;2026-04-29;Skoda;Kodiaq;2023;56000;Automatique;Essence;Tunis;9;;
Bmw Serie 3;54000;https://www.automax.tn/annonces/bmw-serie-3-4/;AutoMax;2026-07-13;2026-04-29;Bmw;Serie 3;2013;185000;Automatique;Essence;Tunis;7;;
Peugeot 3008 Gt-Line;121000;https://www.automax.tn/annonces/peugeot-3008-gt-line/;AutoMax;2026-07-13;2026-04-29;Peugeot;3008 Gt-Line;2023;14000;Automatique;Essence;Tunis;9;;
Ford Ecosport;53000;https://www.automax.tn/annonces/ford-ecosport-7/;AutoMax;2026-07-13;2026-04-28;Ford;Ecosport;2018;90000;Manuelle;Essence;Tunis;7;;
Bmw Serie 4;73000;https://www.automax.tn/annonces/bmw-serie-4/;AutoMax;2026-07-13;2026-04-28;Bmw;Serie 4;2014;170000;Automatique;Essence;Tunis;10;;
Volkswagen Tiguan;107000;https://www.automax.tn/annonces/volkswagen-tiguan/;AutoMax;2026-07-13;2026-04-28;Volkswagen;Tiguan;2022;35000;Automatique;Hybride;Tunis;8;;
Ford Kuga;79000;https://www.automax.tn/annonces/ford-kuga/;AutoMax;2026-07-13;2026-04-28;Ford;Kuga;2022;45000;Automatique;Essence;Tunis;8;;
Toyota Hilux;165000;https://www.automax.tn/annonces/toyota-hilux/;AutoMax;2026-07-13;2026-04-28;Toyota;Hilux;2020;178000;Automatique;Diesel;Nabeul;8;;
Audi A6;59000;https://www.automax.tn/annonces/audi-a6/;AutoMax;2026-07-13;2026-04-28;Audi;A6;2012;180000;Automatique;Diesel;Tunis;10;;
Mercedes Classe E;98000;https://www.automax.tn/annonces/mercedes-classe-e-6/;AutoMax;2026-07-13;2026-04-28;Mercedes;Classe E;2021;190000;Automatique;Essence;Tunis;9;;
Audi A4;39900;https://www.automax.tn/annonces/audi-a4-5/;AutoMax;2026-07-13;2026-04-28;Audi;A4;2014;195000;Manuelle;Essence;Tunis;7;;
Seat Altea;30000;https://www.automax.tn/annonces/seat-altea/;AutoMax;2026-07-13;2026-04-27;Seat;Altea;2006;215;Automatique;Diesel;Mahdia;10;;
Peugeot 208;35000;https://www.automax.tn/annonces/peugeot-208-6/;AutoMax;2026-07-13;2026-04-27;Peugeot;208;2018;77000;Manuelle;Essence;Ariana;5;;
Kia Rio;53000;https://www.automax.tn/annonces/kia-rio-11/;AutoMax;2026-07-13;2026-04-26;Kia;Rio;2021;143000;Manuelle;Essence;Jendouba;5;;
Opel Corsa;28000;https://www.automax.tn/annonces/opel-corsa-3/;AutoMax;2026-07-13;2026-04-17;Opel;Corsa;2014;120;Manuelle;Essence;Mahdia;5;;
Hyundai I20;48500;https://www.automax.tn/annonces/hyundai-i20-4/;AutoMax;2026-07-13;2026-04-17;Hyundai;I20;2022;153000;Manuelle;Essence;Nabeul;5;;
Kia Sportage;70000;https://www.automax.tn/annonces/kia-sportage-5/;AutoMax;2026-07-13;2026-04-16;Kia;Sportage;2017;150000;Automatique;Essence;Tunis;8;;
Nissan Juke;57000;https://www.automax.tn/annonces/nissan-juke/;AutoMax;2026-07-13;2026-04-15;Nissan;Juke;2022;163500;Manuelle;Essence;Ben Arous;6;;
Mg 5;80000;https://www.automax.tn/annonces/mg-5-4/;AutoMax;2026-07-13;2026-04-14;Mg;5;2024;39524;Automatique;Essence;Monastir;7;;
Citroen C4;25500;https://www.automax.tn/annonces/citroen-c4-2/;AutoMax;2026-07-13;2026-04-11;Citroen;C4;2012;320000;Manuelle;Essence;Tunis;6;;
Kia Rio;44000;https://www.automax.tn/annonces/kia-rio-9/;AutoMax;2026-07-13;2026-04-08;Kia;Rio;2018;155000;Manuelle;Essence;Manouba;5;;
Seat Ibiza;30500;https://www.automax.tn/annonces/seat-ibiza-4/;AutoMax;2026-07-13;2026-04-07;Seat;Ibiza;2015;170000;Manuelle;Essence;Ariana;5;;
Peugeot 301;21000;https://www.automax.tn/annonces/peugeot-301/;AutoMax;2026-07-13;2026-03-31;Peugeot;301;2014;177750;Manuelle;Essence;Tunis;5;;
Chery Tiggo 3;52000;https://www.automax.tn/annonces/chery-tiggo-3/;AutoMax;2026-07-13;2026-03-29;Chery;Tiggo 3;2022;55000;Automatique;Essence;Tunis;5;;
Renault Scenic;36000;https://www.automax.tn/annonces/renault-scenic/;AutoMax;2026-07-13;2026-03-27;Renault;Scenic;2010;200000;Manuelle;Diesel;Sousse;7;;
Volkswagen Passat;33000;https://www.automax.tn/annonces/volkswagen-passat-3/;AutoMax;2026-07-13;2026-03-26;Volkswagen;Passat;2008;335000;Manuelle;Essence;Tunis;7;;
Hyundai I20;79000;https://www.automax.tn/annonces/hyundai-i20/;AutoMax;2026-07-13;2026-03-23;Hyundai;I20;2023;11950;Automatique;Essence;Nabeul;5;;
Opel Corsa;9800;https://www.automax.tn/annonces/opel-corsa-2/;AutoMax;2026-07-13;2026-03-18;Opel;Corsa;1999;300000;Manuelle;Essence;Ben Arous;50;;
Peugeot 206+;25000;https://www.automax.tn/annonces/peugeot-206-7/;AutoMax;2026-07-13;2026-03-13;Peugeot;206+;2012;159000;Manuelle;Essence;Monastir;4;;
Geely Icon;90000;https://www.automax.tn/annonces/geely-icon/;AutoMax;2026-07-13;2026-03-10;Geely;Icon;2024;43000;Automatique;Essence;Sousse;9;;
Haval Jolion;79000;https://www.automax.tn/annonces/haval-jolion/;AutoMax;2026-07-13;2026-03-08;Haval;Jolion;2022;70;Automatique;Essence;Bizerte;9;;
Fiat Grande Punto;25500;https://www.automax.tn/annonces/fiat-grande-punto/;AutoMax;2026-07-13;2026-03-08;Fiat;Grande Punto;2013;172300;Manuelle;Essence;Ariana;5;;
Hyundai Grand I10;39500;https://www.automax.tn/annonces/hyundai-grand-i10-6/;AutoMax;2026-07-13;2026-03-02;Hyundai;Grand I10;2022;93000;Manuelle;Essence;Ben Arous;5;;
Audi Q5;59000;https://www.automax.tn/annonces/audi-q5-3/;AutoMax;2026-07-13;2026-02-27;Audi;Q5;2010;360000;Automatique;Diesel;Sousse;10;;
Mazda Cx-3;60000;https://www.automax.tn/annonces/mazda-cx-3/;AutoMax;2026-07-13;2026-02-27;Mazda;Cx-3;2018;130000;Automatique;Essence;Ariana;9;;
Kia Sportage;73000;https://www.automax.tn/annonces/kia-sportage-4/;AutoMax;2026-07-13;2026-02-26;Kia;Sportage;2019;155000;Automatique;Essence;Monastir;6;;
Mahindra Kuv 100;28000;https://www.automax.tn/annonces/mahindra-kuv-100-8/;AutoMax;2026-07-13;2026-02-19;Mahindra;Kuv 100;2022;116000;Manuelle;Essence;Nabeul;5;;
Ford Focus;48000;https://www.automax.tn/annonces/ford-focus-4/;AutoMax;2026-07-13;2026-02-18;Ford;Focus;2018;180000;Automatique;Essence;Jendouba;7;;
Kia Rio;39000;https://www.automax.tn/annonces/kia-rio-10/;AutoMax;2026-07-13;2026-02-16;Kia;Rio;2014;152000;Automatique;Essence;Ariana;6;;
Volkswagen Golf;95000;https://www.automax.tn/annonces/volkswagen-golf-4/;AutoMax;2026-07-13;2026-02-11;Volkswagen;Golf;2022;89000;Automatique;Hybride;Mahdia;7;;
Land Rover Freelander;60000;https://www.automax.tn/annonces/land-rover-freelander/;AutoMax;2026-07-13;2026-02-10;Land Rover;Freelander;2011;202000;Automatique;Diesel;Tunis;11;;
Peugeot 208;25000;https://www.automax.tn/annonces/peugeot-208-5/;AutoMax;2026-07-13;2026-01-30;Peugeot;208;2013;143000;Manuelle;Essence;Tunis;5;;
Volkswagen Golf;41000;https://www.automax.tn/annonces/volkswagen-golf-3/;AutoMax;2026-07-13;2026-01-21;Volkswagen;Golf;2012;360000;Manuelle;Diesel;Ben Arous;5;;
Volkswagen Golf 7;55000;https://www.automax.tn/annonces/volkswagen-golf-7-8/;AutoMax;2026-07-13;2026-01-19;Volkswagen;Golf 7;2020;110000;Automatique;Essence;Ariana;6;;
Renault Megane;39500;https://www.automax.tn/annonces/renault-megane/;AutoMax;2026-07-13;2026-01-12;Renault;Megane;2017;235000;Manuelle;Essence;Ariana;7;;
Peugeot Partner;47000;https://www.automax.tn/annonces/peugeot-partner/;AutoMax;2026-07-13;2026-01-10;Peugeot;Partner;2022;14000;Manuelle;Diesel;Nabeul;5;;
Mg 5;55000;https://www.automax.tn/annonces/mg-5-3/;AutoMax;2026-07-13;2026-01-10;Mg;5;2022;64000;Automatique;Essence;Ariana;7;;
Mercedes Classe C;92000;https://www.automax.tn/annonces/mercedes-classe-c-2/;AutoMax;2026-07-13;2026-01-06;Mercedes;Classe C;2015;140000;Automatique;Essence;Ariana;15;;
Opel Astra;28500;https://www.automax.tn/annonces/opel-astra/;AutoMax;2026-07-13;2026-01-06;Opel;Astra;2011;243000;Manuelle;Essence;Kef;6;;
Ford Ecosport;65000;https://www.automax.tn/annonces/ford-ecosport-6/;AutoMax;2026-07-13;2026-01-05;Ford;Ecosport;2020;60400;Manuelle;Essence;Ariana;7;;
Citroen C5;29500;https://www.automax.tn/annonces/citroen-c5/;AutoMax;2026-07-13;2026-01-02;Citroen;C5;2010;242668;Manuelle;Diesel;Nabeul;6;;
Peugeot 206;16500;https://www.automax.tn/annonces/peugeot-206-5/;AutoMax;2026-07-13;2025-12-31;Peugeot;206;2001;330000;Manuelle;Essence;Nabeul;4;;
Volkswagen Cc;71000;https://www.automax.tn/annonces/volkswagen-cc/;AutoMax;2026-07-13;2025-12-29;Volkswagen;Cc;2015;80014;Automatique;Essence;Sousse;9;;
Kia Cerato;40000;https://www.automax.tn/annonces/kia-cerato/;AutoMax;2026-07-13;2025-12-28;Kia;Cerato;2014;190;Automatique;Essence;Tunis;8;;
Porsche Macan;210000;https://www.automax.tn/annonces/porsche-macan/;AutoMax;2026-07-13;2025-12-27;Porsche;Macan;2019;120000;Automatique;Essence;Tunis;16;;
Mercedes Glc Coupe;200000;https://www.automax.tn/annonces/mercedes-glc-coupe/;AutoMax;2026-07-13;2025-12-21;Mercedes;Glc Coupe;2021;57000;Automatique;Hybride;Sfax;12;;
Suzuki Swift;35000;https://www.automax.tn/annonces/suzuki-swift-5/;AutoMax;2026-07-13;2025-12-18;Suzuki;Swift;2017;152000;Manuelle;Essence;Ben Arous;5;;
Volkswagen Polo;20000;https://www.automax.tn/annonces/volkswagen-polo-3/;AutoMax;2026-07-13;2025-12-18;Volkswagen;Polo;2013;137;Automatique;Diesel;Manouba;10;;
Dongfeng S50;42;https://www.automax.tn/annonces/dongfeng-s50/;AutoMax;2026-07-13;2025-12-14;Dongfeng;S50;2020;79400;Manuelle;Essence;Manouba;6;;
Mercedes 180;135000;https://www.automax.tn/annonces/mercedes-180/;AutoMax;2026-07-13;2025-12-13;Mercedes;180;2019;100000;Automatique;Essence;Gabes;9;;
Dacia Duster;40000;https://www.automax.tn/annonces/dacia-duster-3/;AutoMax;2026-07-13;2025-11-26;Dacia;Duster;2015;78000;Automatique;Essence;Mahdia;9;;
Mercedes Classe A;23000;https://www.automax.tn/annonces/mercedes-classe-a-4/;AutoMax;2026-07-13;2025-11-25;Mercedes;Classe A;2006;209000;Manuelle;Essence;Tunis;6;;
Kia Seltos;84000;https://www.automax.tn/annonces/kia-seltos-2/;AutoMax;2026-07-13;2025-11-24;Kia;Seltos;2020;71000;Automatique;Essence;Ariana;8;;
Volkswagen Golf;27000;https://www.automax.tn/annonces/volkswagen-golf-2/;AutoMax;2026-07-13;2025-11-24;Volkswagen;Golf;2005;320000;Manuelle;Essence;Bizerte;5;;
Citroen C-Elysee;25000;https://www.automax.tn/annonces/citroen-c-elysee-2/;AutoMax;2026-07-13;2025-11-19;Citroen;C-Elysee;2015;164000;Manuelle;Essence;Ariana;5;;
Hyundai Tucson;96000;https://www.automax.tn/annonces/hyundai-tucson/;AutoMax;2026-07-13;2025-11-18;Hyundai;Tucson;2022;49000;Manuelle;Diesel;Ben Arous;6;;
Volkswagen Golf 7;60000;https://www.automax.tn/annonces/volkswagen-golf-7-4/;AutoMax;2026-07-13;2025-11-17;Volkswagen;Golf 7;2021;178000;Automatique;Essence;Ben Arous;6;;
Ford Fiesta;27000;https://www.automax.tn/annonces/ford-fiesta-2/;AutoMax;2026-07-13;2025-11-15;Ford;Fiesta;2016;173000;Manuelle;Essence;Sfax;5;;
Peugeot 206;19800;https://www.automax.tn/annonces/peugeot-206-4/;AutoMax;2026-07-13;2025-11-10;Peugeot;206;2004;222000;Manuelle;Essence;Manouba;4;;
Toyota Agya;31000;https://www.automax.tn/annonces/toyota-agya/;AutoMax;2026-07-13;2025-11-08;Toyota;Agya;2021;77800;Manuelle;Essence;Ariana;4;;
Volkswagen Golf;36000;https://www.automax.tn/annonces/volkswagen-golf/;AutoMax;2026-07-13;2025-11-07;Volkswagen;Golf;2011;252000;Manuelle;Essence;Gafsa;5;;
Volvo S80;37500;https://www.automax.tn/annonces/volvo-s80/;AutoMax;2026-07-13;2025-11-02;Volvo;S80;2012;353215;Automatique;Diesel;Tunis;9;;
Mg 5;66000;https://www.automax.tn/annonces/mg-5-2/;AutoMax;2026-07-13;2025-10-30;Mg;5;2024;25000;Automatique;Essence;Mahdia;7;;
Hyundai Grand I10;30000;https://www.automax.tn/annonces/hyundai-grand-i10-3/;AutoMax;2026-07-13;2025-10-29;Hyundai;Grand I10;2015;115600;Manuelle;Essence;Ben Arous;5;;
Ssangyong Actyon Sport;32000;https://www.automax.tn/annonces/ssangyong-actyon-sport/;AutoMax;2026-07-13;2025-10-28;Ssangyong;Actyon Sport;2011;250000;Manuelle;Diesel;Ben Arous;7;;
Toyota C-Hr;87000;https://www.automax.tn/annonces/toyota-c-hr/;AutoMax;2026-07-13;2025-10-28;Toyota;C-Hr;2022;40000;Automatique;Essence;Manouba;6;;
Skoda Scala;57000;https://www.automax.tn/annonces/skoda-scala/;AutoMax;2026-07-13;2025-10-28;Skoda;Scala;2021;135000;Automatique;Essence;Ben Arous;6;;
Chevrolet Aveo;24500;https://www.automax.tn/annonces/chevrolet-aveo/;AutoMax;2026-07-13;2025-10-27;Chevrolet;Aveo;2011;218000;Manuelle;Essence;Ben Arous;5;;
Citroen C3;30000;https://www.automax.tn/annonces/citroen-c3-2/;AutoMax;2026-07-13;2025-10-27;Citroen;C3;2018;190;Manuelle;Essence;Ben Arous;4;;
Audi A3 Berline;55000;https://www.automax.tn/annonces/audi-a3-berline/;AutoMax;2026-07-13;2025-10-26;Audi;A3 Berline;2015;272000;Manuelle;Essence;Ariana;10;;
Ford Focus;23000;https://www.automax.tn/annonces/ford-focus-3/;AutoMax;2026-07-13;2025-10-26;Ford;Focus;2002;250;Automatique;Diesel;Tunis;10;;
Seat Leon;52149505;https://www.automax.tn/annonces/seat-leon-2/;AutoMax;2026-07-13;2025-10-26;Seat;Leon;20223;80000;Automatique;Essence;Bizerte;8;;
Ssangyong Korando;76000;https://www.automax.tn/annonces/ssangyong-korando-2/;AutoMax;2026-07-13;2025-10-24;Ssangyong;Korando;2021;98000;Automatique;Essence;Tunis;9;;
Kia Picanto;37000;https://www.automax.tn/annonces/kia-picanto-2/;AutoMax;2026-07-13;2025-10-24;Kia;Picanto;2018;126000;Manuelle;Essence;Manouba;5;;
Ford Fusion;47000;https://www.automax.tn/annonces/ford-fusion-3/;AutoMax;2026-07-13;2025-10-23;Ford;Fusion;2016;243801;Manuelle;Essence;Ariana;9;;
Seat Ateca;69000;https://www.automax.tn/annonces/seat-ateca/;AutoMax;2026-07-13;2025-10-20;Seat;Ateca;2017;153000;Manuelle;Essence;Monastir;50;;
Peugeot 107;24000;https://www.automax.tn/annonces/peugeot-107/;AutoMax;2026-07-13;2025-10-20;Peugeot;107;2011;270;Manuelle;Essence;Ben Arous;4;;
Mercedes Classe V;65000;https://www.automax.tn/annonces/mercedes-classe-v/;AutoMax;2026-07-13;2025-10-19;Mercedes;Classe V;2018;90000;Manuelle;Diesel;Sfax;8;;
Peugeot 208;45000;https://www.automax.tn/annonces/peugeot-208-4/;AutoMax;2026-07-13;2025-10-19;Peugeot;208;2022;29000;Manuelle;Essence;Gafsa;4;;
Volkswagen Tiguan;98500;https://www.automax.tn/annonces/volkswagen-tiguan-2/;AutoMax;2026-07-13;2025-10-17;Volkswagen;Tiguan;2023;99000;Manuelle;Essence;Bizerte;6;;
Peugeot 306;9500;https://www.automax.tn/annonces/peugeot-306-2/;AutoMax;2026-07-13;2025-10-17;Peugeot;306;2002;222222;Manuelle;Diesel;Monastir;5;;
Kia Sportage;81000;https://www.automax.tn/annonces/kia-sportage-3/;AutoMax;2026-07-13;2025-10-16;Kia;Sportage;2018;84000;Automatique;Essence;Manouba;8;;
Kia Seltos;117400;https://www.automax.tn/annonces/kia-seltos/;AutoMax;2026-07-13;2025-10-16;Kia;Seltos;2024;17100;Automatique;Essence;Nabeul;8;;
Jeep Compass;125000;https://www.automax.tn/annonces/jeep-compass/;AutoMax;2026-07-13;2025-10-15;Jeep;Compass;2020;19000;Manuelle;Essence;Sfax;8;;
Hyundai Creta;75000;https://www.automax.tn/annonces/hyundai-creta/;AutoMax;2026-07-13;2025-10-14;Hyundai;Creta;2020;115000;Automatique;Essence;Tunis;7;;
Audi Q5;68000;https://www.automax.tn/annonces/audi-q5-2/;AutoMax;2026-07-13;2025-10-13;Audi;Q5;2010;362000;Automatique;Diesel;Sousse;10;;
Ford Ecosport;53000;https://www.automax.tn/annonces/ford-ecosport-5/;AutoMax;2026-07-13;2025-10-12;Ford;Ecosport;2018;56000;Manuelle;Essence;Kairouan;7;;
Ford Focus;38000;https://www.automax.tn/annonces/ford-focus-2/;AutoMax;2026-07-13;2025-10-09;Ford;Focus;2017;126000;Automatique;Essence;Ariana;7;;
Mg Gs;66000;https://www.automax.tn/annonces/mg-gs/;AutoMax;2026-07-13;2025-10-08;Mg;Gs;2017;56000;Automatique;Essence;Ariana;9;;
Suzuki Celerio;46500;https://www.automax.tn/annonces/suzuki-celerio-5/;AutoMax;2026-07-13;2025-10-07;Suzuki;Celerio;2024;22000;Automatique;Essence;Sousse;4;;
Ford Ecosport;53000;https://www.automax.tn/annonces/ford-ecosport-4/;AutoMax;2026-07-13;2025-10-06;Ford;Ecosport;2018;56000;Manuelle;Essence;Kairouan;7;;
Kia Xceed;108500;https://www.automax.tn/annonces/kia-xceed/;AutoMax;2026-07-13;2025-10-05;Kia;Xceed;2023;24090;Automatique;Essence;Sfax;9;;
Dacia Duster;35000;https://www.automax.tn/annonces/dacia-duster-2/;AutoMax;2026-07-13;2025-10-02;Dacia;Duster;2013;234214;Manuelle;Essence;Monastir;7;;
