Titre;Prix_DT;Lien;Source;Annonce-Detectee;Annonce-Deposee;Marque;Modèle;Année;Kilométrage;Boite;Energie;Localisation;Puissance_Fiscale;Etat_Vehicule;Statut
Suzuki Celerio;38000;https://www.automax.tn/annonces/suzuki-celerio/;AutoMax;2026-07-13;2025-02-11;Suzuki;Celerio;2023;24000;Manuelle;Essence;Ben Arous;4;;
Mg 6;65000;https://www.automax.tn/annonces/mg-6/;AutoMax;2026-07-13;2025-02-08;Mg;6;2020;20000;Automatique;Essence;Kairouan;9;;
Chery Tiggo 4;72000;https://www.automax.tn/annonces/chery-tiggo-4/;AutoMax;2026-07-13;2025-02-05;Chery;Tiggo 4;2021;79800;Automatique;Essence;Ben Arous;9;;
Volkswagen Passat;43000;https://www.automax.tn/annonces/volkswagen-passat-2/;AutoMax;2026-07-13;2025-02-03;Volkswagen;Passat;2010;151000;Automatique;Essence;Tunis;9;;
Peugeot 2008;35500;https://www.automax.tn/annonces/peugeot-2008/;AutoMax;2026-07-13;2025-02-01;Peugeot;2008;2014;162000;Manuelle;Essence;Ariana;5;;
Mazda 2 Sedan;39000;https://www.automax.tn/annonces/mazda-2-sedan/;AutoMax;2026-07-13;2025-01-27;Mazda;2 Sedan;2017;157000;Manuelle;Essence;Ben Arous;6;;
Hyundai I10;48000;https://www.automax.tn/annonces/hyundai-i10-2/;AutoMax;2026-07-13;2025-01-21;Hyundai;I10;2021;11000;Automatique;Essence;Gabes;5;;
Volkswagen Polo 7;55000;https://www.automax.tn/annonces/volkswagen-polo-7/;AutoMax;2026-07-13;2025-01-19;Volkswagen;Polo 7;2019;98000;Manuelle;Essence;Ariana;4;;
Audi Q2;116000;https://www.automax.tn/annonces/audi-q2-2/;AutoMax;2026-07-13;2025-01-13;Audi;Q2;2023;45000;Automatique;Essence;Tunis;8;;
Hyundai Grand I10;41800;https://www.automax.tn/annonces/hyundai-grand-i10/;AutoMax;2026-07-13;2025-01-12;Hyundai;Grand I10;2021;42000;Manuelle;Essence;Tunis;4;;
Mahindra Kuv 100;33000;https://www.automax.tn/annonces/mahindra-kuv-100-7/;AutoMax;2026-07-13;2025-01-09;Mahindra;Kuv 100;2018;40000;Manuelle;Essence;Monastir;12;;
Peugeot 208;34;https://www.automax.tn/annonces/peugeot-208/;AutoMax;2026-07-13;2025-01-09;Peugeot;208;2019;96;Manuelle;Essence;Sousse;5;;
Mahindra Kuv 100;32000;https://www.automax.tn/annonces/mahindra-kuv-100-2/;AutoMax;2026-07-13;2024-12-29;Mahindra;Kuv 100;2020;58000;Manuelle;Essence;Tunis;5;;
Kia Sportage;75000;https://www.automax.tn/annonces/kia-sportage-2/;AutoMax;2026-07-13;2024-12-24;Kia;Sportage;2018;168000;Automatique;Essence;Sfax;8;;
Peugeot 206;19000;https://www.automax.tn/annonces/peugeot-206-2/;AutoMax;2026-07-13;2024-12-19;Peugeot;206;2009;244000;Manuelle;Essence;Ariana;4;;
Porsche Cayenne;650000;https://www.automax.tn/annonces/porsche-cayenne/;AutoMax;2026-07-13;2024-12-13;Porsche;Cayenne;2024;20000;Automatique;Essence;Tunis;20;;
Bmw Serie 3;49000;https://www.automax.tn/annonces/bmw-serie-3/;AutoMax;2026-07-13;2024-12-13;Bmw;Serie 3;2007;250000;Automatique;Diesel;Sousse;10;;
Peugeot 508;90000;https://www.automax.tn/annonces/peugeot-508-2/;AutoMax;2026-07-13;2024-12-10;Peugeot;508;2019;112000;Automatique;Diesel;Tunis;7;;
Kia Rio;66500;https://www.automax.tn/annonces/kia-rio-3/;AutoMax;2026-07-13;2024-12-01;Kia;Rio;2022;72000;Manuelle;Essence;Manouba;5;;
Volkswagen Golf 7;68000;https://www.automax.tn/annonces/volkswagen-golf-7-7/;AutoMax;2026-07-13;2024-08-28;Volkswagen;Golf 7;2019;111000;Manuelle;Essence;Tunis;6;;
Lada 4×4;33000;https://www.automax.tn/annonces/lada-4x4-2/;AutoMax;2026-07-13;2024-08-27;Lada;4×4;2020;59000;Manuelle;Essence;Tunis;7;;
Kia Rio;55000;https://www.automax.tn/annonces/kia-rio-2/;AutoMax;2026-07-13;2024-08-26;Kia;Rio;2020;89537;Manuelle;Essence;Gafsa;5;;
Mahindra Kuv 100;32000;https://www.automax.tn/annonces/mahindra-kuv-100/;AutoMax;2026-07-13;2024-08-26;Mahindra;Kuv 100;2020;55000;Manuelle;Essence;Ariana;5;;
Kia Rio;75000;https://www.automax.tn/annonces/kia-rio/;AutoMax;2026-07-13;2024-08-26;Kia;Rio;2022;36;Manuelle;Essence;Manouba;11;;
Mercedes Cla;135000;https://www.automax.tn/annonces/mercedes-cla-2/;AutoMax;2026-07-13;2024-08-26;Mercedes;Cla;2021;51000;Manuelle;Diesel;Ariana;7;;
Peugeot 3008;83000;https://www.automax.tn/annonces/peugeot-3008-3/;AutoMax;2026-07-13;2024-08-26;Peugeot;3008;2020;120000;Automatique;Essence;Ariana;7;;
Volkswagen Golf 7;55000;https://www.automax.tn/annonces/volkswagen-golf-7-6/;AutoMax;2026-07-13;2024-08-26;Volkswagen;Golf 7;2015;150000;Manuelle;Essence;Tunis;5;;
Dacia Sandero Stepway;40000;https://www.automax.tn/annonces/dacia-sandero-stepway/;AutoMax;2026-07-13;2024-08-11;Dacia;Sandero Stepway;2014;122093;Manuelle;Essence;Kebili;5;;
Audi Q3;160000;https://www.automax.tn/annonces/audi-q3/;AutoMax;2026-07-13;2024-08-06;Audi;Q3;2022;50000;Automatique;Essence;Tunis;9;;
Volkswagen Passat;34000;https://www.automax.tn/annonces/volkswagen-passat/;AutoMax;2026-07-13;2024-08-03;Volkswagen;Passat;2010;332000;Manuelle;Essence;Nabeul;7;;
Mercedes Classe A;140000;https://www.automax.tn/annonces/mercedes-classe-a/;AutoMax;2026-07-13;2024-08-01;Mercedes;Classe A;2021;43000;Automatique;Hybride;Nabeul;8;;
Geely Gc 6;35000;https://www.automax.tn/annonces/geely-gc-6/;AutoMax;2026-07-13;2024-07-28;Geely;Gc 6;2020;14000;Manuelle;Essence;Sousse;6;;
Volkswagen Golf 7;54000;https://www.automax.tn/annonces/volkswagen-golf-7/;AutoMax;2026-07-13;2024-07-20;Volkswagen;Golf 7;2013;200;Manuelle;Diesel;Sousse;8;;
Peugeot 208;34000;https://www.automax.tn/annonces/peugeot-208-3/;AutoMax;2026-07-13;2024-07-18;Peugeot;208;2019;95600;Manuelle;Essence;Sousse;5;;
Hyundai I10;40500;https://www.automax.tn/annonces/hyundai-i10/;AutoMax;2026-07-13;2024-07-15;Hyundai;I10;2021;29000;Manuelle;Essence;Tunis;4;;
Citroen Jumpy;58000;https://www.automax.tn/annonces/citroen-jumpy/;AutoMax;2026-07-13;2024-07-14;Citroen;Jumpy;2019;125000;Manuelle;Diesel;Kairouan;7;;
Renault Symbol;23500;https://www.automax.tn/annonces/renault-symbol/;AutoMax;2026-07-13;2024-07-12;Renault;Symbol;2009;170000;Manuelle;Essence;Ben Arous;5;;
Kia Sportage;65000;https://www.automax.tn/annonces/kia-sportage/;AutoMax;2026-07-13;2024-07-10;Kia;Sportage;2014;10;Manuelle;Diesel;Sousse;6;;
Mercedes Glb;182000;https://www.automax.tn/annonces/mercedes-glb/;AutoMax;2026-07-13;2024-07-08;Mercedes;Glb;2022;47000;Automatique;Essence;Tunis;9;;
Ford Ecosport;73000;https://www.automax.tn/annonces/ford-ecosport-2/;AutoMax;2026-07-13;2024-07-03;Ford;Ecosport;2022;44600;Manuelle;Essence;Ariana;7;;
Seat Ibiza;52000;https://www.automax.tn/annonces/seat-ibiza-2/;AutoMax;2026-07-13;2024-07-01;Seat;Ibiza;2019;92000;Manuelle;Essence;Sfax;5;;
Suzuki Baleno;19500;https://www.automax.tn/annonces/suzuki-baleno/;AutoMax;2026-07-13;2024-06-29;Suzuki;Baleno;2024;7560;Manuelle;Diesel;Nabeul;6;;
Volkswagen Polo;55000;https://www.automax.tn/annonces/volkswagen-polo/;AutoMax;2026-07-13;2024-06-27;Volkswagen;Polo;2020;160000;Manuelle;Essence;Ben Arous;4;;
Audi A4;83000;https://www.automax.tn/annonces/audi-a4/;AutoMax;2026-07-13;2024-06-15;Audi;A4;2019;156000;Automatique;Essence;Sfax;8;;
Bmw I3;44000;https://www.automax.tn/annonces/bmw-i3/;AutoMax;2026-07-13;2024-06-10;Bmw;I3;2004;234000;Automatique;Essence;Tunis;17;;
Bmw 3.0;63000;https://www.automax.tn/annonces/bmw-3-0/;AutoMax;2026-07-13;2024-06-10;Bmw;3.0;2015;135000;Automatique;Essence;Tunis;7;;
Ford Fiesta;35000;https://www.automax.tn/annonces/ford-fiesta/;AutoMax;2026-07-13;2024-06-08;Ford;Fiesta;2017;150000;Manuelle;Essence;Ben Arous;5;;
Land Rover Range Rover Evoque;195000;https://www.automax.tn/annonces/land-rover-range-rover-evoque-2/;AutoMax;2026-07-13;2024-06-08;Land Rover;Range Rover Evoque;2019;50000;Automatique;Diesel;Tunis;9;;
Jeep Renegade;79000;https://www.automax.tn/annonces/jeep-renegade-2/;AutoMax;2026-07-13;2024-06-08;Jeep;Renegade;2020;74000;Automatique;Essence;Tunis;8;;
Citroen C4;35000;https://www.automax.tn/annonces/citroen-c4/;AutoMax;2026-07-13;2024-06-08;Citroen;C4;2015;190000;Manuelle;Essence;Tunis;5;;
Audi A5;119000;https://www.automax.tn/annonces/audi-a5/;AutoMax;2026-07-13;2024-06-08;Audi;A5;2018;155000;Automatique;Essence;Tunis;8;;
Peugeot 208;45500;https://www.automax.tn/annonces/peugeot-208-2/;AutoMax;2026-07-13;2024-06-07;Peugeot;208;2022;57000;Manuelle;Essence;Tunis;4;;
Honda City;47000;https://www.automax.tn/annonces/honda-city-2/;AutoMax;2026-07-13;2024-06-06;Honda;City;2019;84180;Automatique;Essence;Ben Arous;7;;
Mazda 3;53000;https://www.automax.tn/annonces/mazda-3-2/;AutoMax;2026-07-13;2024-06-04;Mazda;3;2018;130000;Manuelle;Essence;Kasserine;10;;
Ford Ranger;110;https://www.automax.tn/annonces/ford-ranger/;AutoMax;2026-07-13;2024-05-28;Ford;Ranger;2018;45000;Automatique;Diesel;Sousse;6;;
Hyundai Elantra;44000;https://www.automax.tn/annonces/hyundai-elantra/;AutoMax;2026-07-13;2024-05-28;Hyundai;Elantra;2016;140000;Automatique;Essence;Nabeul;8;;
Citroen Ds4;62000;https://www.automax.tn/annonces/citroen-ds4/;AutoMax;2026-07-13;2024-05-26;Citroen;Ds4;2019;95000;Manuelle;Essence;Monastir;7;;
Renault Clio;57900;https://www.automax.tn/annonces/renault-clio/;AutoMax;2026-07-13;2024-05-23;Renault;Clio;2022;17000;Manuelle;Essence;Ariana;5;;
Mazda 3;50900;https://www.automax.tn/annonces/mazda-3/;AutoMax;2026-07-13;2024-05-23;Mazda;3;2018;163000;Manuelle;Essence;Ariana;6;;
Mercedes Classe B;38000;https://www.automax.tn/annonces/mercedes-classe-b-2/;AutoMax;2026-07-13;2024-05-23;Mercedes;Classe B;2010;155000;Automatique;Essence;Tunis;6;;
Ford Mondeo;140000;https://www.automax.tn/annonces/ford-mondeo/;AutoMax;2026-07-13;2024-05-19;Ford;Mondeo;2022;31000;Automatique;Essence;Tunis;7;;
Bmw X5;122000;https://www.automax.tn/annonces/bmw-x5/;AutoMax;2026-07-13;2024-05-19;Bmw;X5;2010;126000;Automatique;Diesel;Monastir;10;;
Ford Ecosport;58000;https://www.automax.tn/annonces/ford-ecosport/;AutoMax;2026-07-13;2024-05-15;Ford;Ecosport;2019;85000;Manuelle;Essence;Ariana;7;;
Land Rover Discovery Sport;119000;https://www.automax.tn/annonces/land-rover-discovery-sport-4/;AutoMax;2026-07-13;2024-05-11;Land Rover;Discovery Sport;2015;125000;Automatique;Diesel;Tunis;11;;
Lada 4×4;50000;https://www.automax.tn/annonces/lada-4x4/;AutoMax;2026-07-13;2024-05-10;Lada;4×4;2018;128000;Manuelle;Essence;Tunis;7;;
Haval H6;77000;https://www.automax.tn/annonces/haval-h6/;AutoMax;2026-07-13;2024-05-10;Haval;H6;2020;48000;Automatique;Essence;Tunis;9;;
Ford Fusion;63000;https://www.automax.tn/annonces/ford-fusion-2/;AutoMax;2026-07-13;2024-05-10;Ford;Fusion;2014;85000;Manuelle;Essence;Tunis;9;;
Bmw Serie 4 Gran Coupe;100000;https://www.automax.tn/annonces/bmw-serie-4-gran-coupe-2/;AutoMax;2026-07-13;2024-05-10;Bmw;Serie 4 Gran Coupe;2016;173000;Automatique;Essence;Tunis;7;;
Mercedes 220;68000;https://www.automax.tn/annonces/mercedes-220-2/;AutoMax;2026-07-13;2024-05-09;Mercedes;220;2009;238000;Automatique;Diesel;Tunis;9;;
Nissan Patrol;55000;https://www.automax.tn/annonces/nissan-patrol-2/;AutoMax;2026-07-13;2024-05-09;Nissan;Patrol;1999;417000;Manuelle;Diesel;Tunis;11;;
Dacia Dokker Van;31000;https://www.automax.tn/annonces/dacia-dokker-van/;AutoMax;2026-07-13;2024-05-09;Dacia;Dokker Van;2018;100000;Manuelle;Diesel;Mahdia;6;;
Geely Gx3;52000;https://www.automax.tn/annonces/geely-gx3-3/;AutoMax;2026-07-13;2024-05-07;Geely;Gx3;2021;45000;Manuelle;Essence;Beja;6;;
Audi Q3 Sportback;205000;https://www.automax.tn/annonces/audi-q3-sportback/;AutoMax;2026-07-13;2024-05-06;Audi;Q3 Sportback;2023;12000;Automatique;Essence;Tunis;9;;
Bmw Serie 5;147000;https://www.automax.tn/annonces/bmw-serie-5-2/;AutoMax;2026-07-13;2024-05-04;Bmw;Serie 5;2018;105000;Automatique;Essence;Tunis;10;;
Mercedes 220;68000;https://www.automax.tn/annonces/mercedes-220/;AutoMax;2026-07-13;2024-05-04;Mercedes;220;2009;238000;Automatique;Diesel;Tunis;9;;
Peugeot 208;36000;https://www.automax.tn/annonces/peugeot-208-8/;AutoMax;2026-07-13;2024-05-04;Peugeot;208;2019;92000;Manuelle;Essence;Sousse;5;;
Kia Picanto;35000;https://www.automax.tn/annonces/kia-picanto-8/;AutoMax;2026-07-13;2024-05-01;Kia;Picanto;2019;140000;Manuelle;Essence;Monastir;4;;
Fiat 500;29500;https://www.automax.tn/annonces/fiat-500-6/;AutoMax;2026-07-13;2024-05-01;Fiat;500;2009;198000;Manuelle;Essence;Ariana;4;;
Dfsk K02s;79000;https://www.automax.tn/annonces/dfsk-k02s/;AutoMax;2026-07-13;2024-04-26;Dfsk;K02s;2024;1400;Automatique;Essence;Nabeul;7;;
Mercedes Cla;160000;https://www.automax.tn/annonces/mercedes-cla/;AutoMax;2026-07-13;2024-04-26;Mercedes;Cla;2020;46;Automatique;Essence;Ariana;7;;
Citroen C4;23000;https://www.automax.tn/annonces/citroen-c4-3/;AutoMax;2026-07-13;2024-04-25;Citroen;C4;2008;370000;Manuelle;Diesel;Tunis;6;;
Ford Ka;19500;https://www.automax.tn/annonces/ford-ka-4/;AutoMax;2026-07-13;2024-04-25;Ford;Ka;2012;212000;Manuelle;Essence;Tunis;4;;
Renault Clio;41500;https://www.automax.tn/annonces/renault-clio-18/;AutoMax;2026-07-13;2024-04-22;Renault;Clio;2021;35000;Manuelle;Essence;Ben Arous;4;;
Ford Ka;23000;https://www.automax.tn/annonces/ford-ka-3/;AutoMax;2026-07-13;2024-04-21;Ford;Ka;2012;212500;Manuelle;Essence;Ben Arous;4;;
Renault Symbol;27000;https://www.automax.tn/annonces/renault-symbol-4/;AutoMax;2026-07-13;2024-04-20;Renault;Symbol;2014;136000;Manuelle;Essence;Sousse;5;;
Geely Gx3;53000;https://www.automax.tn/annonces/geely-gx3-2/;AutoMax;2026-07-13;2024-04-19;Geely;Gx3;2021;45000;Manuelle;Essence;Beja;6;;
Land Rover Range Rover Evoque;105000;https://www.automax.tn/annonces/land-rover-range-rover-evoque/;AutoMax;2026-07-13;2024-04-19;Land Rover;Range Rover Evoque;2013;140000;Automatique;Essence;Sousse;20;;
Renault Megane;54000;https://www.automax.tn/annonces/renault-megane-7/;AutoMax;2026-07-13;2024-04-19;Renault;Megane;2019;98000;Manuelle;Diesel;Sousse;15;;
Dfsk K01;64000;https://www.automax.tn/annonces/dfsk-k01/;AutoMax;2026-07-13;2024-04-16;Dfsk;K01;2021;65500;Automatique;Essence;Tunis;6;;
Volkswagen Polo Sedan;35000;https://www.automax.tn/annonces/volkswagen-polo-sedan-3/;AutoMax;2026-07-13;2024-04-13;Volkswagen;Polo Sedan;2016;149500;Manuelle;Essence;Ben Arous;5;;
Toyota Agya;41000;https://www.automax.tn/annonces/toyota-agya-4/;AutoMax;2026-07-13;2024-04-10;Toyota;Agya;2021;38500;Automatique;Essence;Manouba;5;;
